User_ID,Stage_Order,Stage_Name,Stage_Date,ID_Date,Avg_Feature_A_Usage,Avg_Feature_B_Usage,Avg_Feature_C_Usage
1,1,Page View,2025-03-05,20250305,63.94,2.5,27.5
1,2,CTA Click,2025-03-12,20250312,63.94,2.5,27.5
1,3,Signup,2025-03-15,20250315,63.94,2.5,27.5
2,1,Page View,2025-01-31,20250131,22.32,73.65,67.67
3,1,Page View,2025-01-17,20250117,89.22,8.69,42.19
4,1,Page View,2025-02-23,20250223,2.98,21.86,50.54
4,2,CTA Click,2025-02-24,20250224,2.98,21.86,50.54
5,1,Page View,2025-03-10,20250310,2.65,19.88,64.99
5,2,CTA Click,2025-03-12,20250312,2.65,19.88,64.99
5,3,Signup,2025-03-18,20250318,2.65,19.88,64.99
6,1,Page View,2025-01-10,20250110,54.49,22.04,58.93
7,1,Page View,2025-02-09,20250209,80.94,0.65,80.58
7,2,CTA Click,2025-02-16,20250216,80.94,0.65,80.58
7,3,Signup,2025-02-23,20250223,80.94,0.65,80.58
7,4,First Data Connection,2025-02-26,20250226,80.94,0.65,80.58
7,5,First Dashboard Created,2025-03-02,20250302,80.94,0.65,80.58
7,6,Features Engagement,2025-03-03,20250303,80.94,0.65,80.58
8,1,Page View,2025-02-17,20250217,69.81,34.03,15.55
9,1,Page View,2025-02-11,20250211,95.72,33.66,9.27
10,1,Page View,2025-03-02,20250302,9.67,84.75,60.37
10,2,CTA Click,2025-03-08,20250308,9.67,84.75,60.37
11,1,Page View,2025-01-17,20250117,80.71,72.97,53.62
12,1,Page View,2025-02-15,20250215,97.31,37.85,55.2
12,2,CTA Click,2025-02-23,20250223,97.31,37.85,55.2
12,3,Signup,2025-02-26,20250226,97.31,37.85,55.2
12,4,First Data Connection,2025-03-03,20250303,97.31,37.85,55.2
12,5,First Dashboard Created,2025-03-09,20250309,97.31,37.85,55.2
12,6,Features Engagement,2025-03-11,20250311,97.31,37.85,55.2
13,1,Page View,2025-03-27,20250327,82.94,61.85,86.17
14,1,Page View,2025-01-05,20250105,57.74,70.46,4.58
15,1,Page View,2025-01-22,20250122,22.79,28.94,7.98
16,1,Page View,2025-01-15,20250115,23.28,10.1,27.8
17,1,Page View,2025-02-03,20250203,63.57,36.48,37.02
18,1,Page View,2025-03-15,20250315,20.95,26.7,93.67
19,1,Page View,2025-03-23,20250323,64.8,60.91,17.11
20,1,Page View,2025-02-21,20250221,72.91,16.34,37.95
21,1,Page View,2025-01-23,20250123,98.95,64.0,55.69
22,1,Page View,2025-03-29,20250329,68.46,84.29,77.6
23,1,Page View,2025-03-29,20250329,22.9,3.21,31.55
24,1,Page View,2025-03-02,20250302,26.77,21.1,94.29
25,1,Page View,2025-02-13,20250213,87.64,31.47,65.54
25,2,CTA Click,2025-02-15,20250215,87.64,31.47,65.54
25,3,Signup,2025-02-18,20250218,87.64,31.47,65.54
25,4,First Data Connection,2025-02-20,20250220,87.64,31.47,65.54
25,5,First Dashboard Created,2025-02-24,20250224,87.64,31.47,65.54
26,1,Page View,2025-03-21,20250321,39.56,91.45,45.89
27,1,Page View,2025-01-26,20250126,26.49,24.66,56.14
27,2,CTA Click,2025-01-29,20250129,26.49,24.66,56.14
28,1,Page View,2025-02-23,20250223,26.27,58.46,89.78
29,1,Page View,2025-03-31,20250331,39.94,21.93,99.75
30,1,Page View,2025-03-02,20250302,50.95,9.09,4.71
30,2,CTA Click,2025-03-08,20250308,50.95,9.09,4.71
31,1,Page View,2025-01-15,20250115,10.96,62.74,79.21
32,1,Page View,2025-03-15,20250315,42.22,6.35,38.16
33,1,Page View,2025-01-10,20250110,99.61,52.91,97.11
34,1,Page View,2025-03-27,20250327,86.08,1.15,72.07
34,2,CTA Click,2025-03-31,20250331,86.08,1.15,72.07
34,3,Signup,2025-04-03,20250403,86.08,1.15,72.07
35,1,Page View,2025-02-15,20250215,68.17,53.7,26.68
36,1,Page View,2025-01-14,20250114,64.1,11.16,43.48
37,1,Page View,2025-02-09,20250209,45.37,95.38,87.59
38,1,Page View,2025-02-02,20250202,26.34,50.06,17.87
38,2,CTA Click,2025-02-08,20250208,26.34,50.06,17.87
38,3,Signup,2025-02-10,20250210,26.34,50.06,17.87
39,1,Page View,2025-03-21,20250321,91.26,87.05,29.84
40,1,Page View,2025-03-23,20250323,63.89,60.9,15.28
41,1,Page View,2025-01-23,20250123,76.25,53.94,77.86
41,2,CTA Click,2025-01-25,20250125,76.25,53.94,77.86
41,3,Signup,2025-02-01,20250201,76.25,53.94,77.86
41,4,First Data Connection,2025-02-08,20250208,76.25,53.94,77.86
41,5,First Dashboard Created,2025-02-12,20250212,76.25,53.94,77.86
41,6,Features Engagement,2025-02-18,20250218,76.25,53.94,77.86
42,1,Page View,2025-03-30,20250330,53.04,0.06,32.42
43,1,Page View,2025-03-15,20250315,1.95,92.91,87.87
43,2,CTA Click,2025-03-21,20250321,1.95,92.91,87.87
44,1,Page View,2025-01-16,20250116,83.17,30.75,5.79
45,1,Page View,2025-02-09,20250209,87.8,94.69,8.57
45,2,CTA Click,2025-02-11,20250211,87.8,94.69,8.57
46,1,Page View,2025-03-26,20250326,48.6,6.92,76.06
47,1,Page View,2025-01-25,20250125,76.58,12.84,47.53
47,2,CTA Click,2025-01-26,20250126,76.58,12.84,47.53
48,1,Page View,2025-01-27,20250127,54.98,26.51,87.24
48,2,CTA Click,2025-01-31,20250131,54.98,26.51,87.24
49,1,Page View,2025-01-13,20250113,42.31,21.18,53.93
